"REGION","ORDER TYPE","SEX","DATE","COUNT"
"North East","All court orders and pre-release supervision","Female","2025Q3",338
"North East","All court orders and pre-release supervision","Male","2025Q3",2232
"North East","Committal for breach of post-sentence supervision","Male","2025Q3",12
"North East","Community order","Female","2025Q3",176
"North East","Community order","Male","2025Q3",723
"North East","Other sentences","Female","2025Q3",74
"North East","Other sentences","Male","2025Q3",499
"North East","Pre-release supervision","Female","2025Q3",90
"North East","Pre-release supervision","Male","2025Q3",1008
"North East","Suspended sentence order with requirements","Female","2025Q3",74
"North East","Suspended sentence order with requirements","Male","2025Q3",499
"North East","Youth Rehabilitation Order","Male","2025Q3",2
"North West","All community sentences","Female","2025Q3",375
"North West","All community sentences","Male","2025Q3",1438
"North West","All court orders","Female","2025Q3",535
"North West","All court orders","Male","2025Q3",2460
"North West","All court orders and pre-release supervision","Female","2025Q3",673
"North West","All court orders and pre-release supervision","Male","2025Q3",4359
"North West","All pre-Criminal Justice Act 2003 orders","Male","2025Q3",1
"North West","Committal for breach of post-sentence supervision","Female","2025Q3",3
"North West","Committal for breach of post-sentence supervision","Male","2025Q3",44
"North West","Community order","Female","2025Q3",375
"North West","Community order","Male","2025Q3",1429
"North West","Deferred sentence","Male","2025Q3",1
"North West","Other sentences","Female","2025Q3",160
"North West","Other sentences","Male","2025Q3",1022
"North West","Pre-release supervision","Female","2025Q3",138
"North West","Pre-release supervision","Male","2025Q3",1900
"North West","Supervision Default Order","Male","2025Q3",4
"North West","Suspended sentence order with requirements","Female","2025Q3",160
"North West","Suspended sentence order with requirements","Male","2025Q3",1021
"North West","Youth Rehabilitation Order","Male","2025Q3",3
"South Central","All community sentences","Female","2025Q3",178
"South Central","All community sentences","Male","2025Q3",875
"South Central","All court orders","Female","2025Q3",246
"South Central","All court orders","Male","2025Q3",1314
"South Central","All court orders and pre-release supervision","Female","2025Q3",317
"South Central","All court orders and pre-release supervision","Male","2025Q3",2216
"South Central","Committal for breach of post-sentence supervision","Female","2025Q3",2
"South Central","Committal for breach of post-sentence supervision","Male","2025Q3",6
"South Central","Community order","Female","2025Q3",177
"South Central","Community order","Male","2025Q3",872
"South Central","Deferred sentence","Male","2025Q3",1
"South Central","Other sentences","Female","2025Q3",68
"South Central","Other sentences","Male","2025Q3",439
"South Central","Pre-release supervision","Female","2025Q3",71
"South Central","Pre-release supervision","Male","2025Q3",904
"South Central","Supervision Default Order","Male","2025Q3",1
"South Central","Suspended sentence order with requirements","Female","2025Q3",68
"South Central","Suspended sentence order with requirements","Male","2025Q3",438
"South Central","Youth Rehabilitation Order","Female","2025Q3",1
"South Central","Youth Rehabilitation Order","Male","2025Q3",2
"South West","All community sentences","Female","2025Q3",257
"South West","All community sentences","Male","2025Q3",1176
"South West","All court orders","Female","2025Q3",355
"South West","All court orders","Male","2025Q3",1735
"South West","All court orders and pre-release supervision","Female","2025Q3",421
"South West","All court orders and pre-release supervision","Male","2025Q3",2728
"South West","All pre-Criminal Justice Act 2003 orders","Male","2025Q3",1
"South West","Committal for breach of post-sentence supervision","Male","2025Q3",13
"South West","Community order","Female","2025Q3",256
"South West","Community order","Male","2025Q3",1165
"South West","Other sentences","Female","2025Q3",98
"South West","Other sentences","Male","2025Q3",559
"South West","Pre-release supervision","Female","2025Q3",66
"South West","Pre-release supervision","Male","2025Q3",993
"South West","Supervision Default Order","Female","2025Q3",1
"South West","Supervision Default Order","Male","2025Q3",2
"South West","Suspended sentence order with requirements","Female","2025Q3",98
"South West","Suspended sentence order with requirements","Male","2025Q3",559
"South West","Youth Rehabilitation Order","Male","2025Q3",8
"Wales","All community sentences","Female","2025Q3",188
"Wales","All community sentences","Male","2025Q3",839
"Wales","All court orders","Female","2025Q3",266
"Wales","All court orders","Male","2025Q3",1380
"Wales","All court orders and pre-release supervision","Female","2025Q3",383
"Wales","All court orders and pre-release supervision","Male","2025Q3",2515
"Wales","All pre-Criminal Justice Act 2003 orders","Female","2025Q3",1
"Wales","Committal for breach of post-sentence supervision","Female","2025Q3",3
"Wales","Committal for breach of post-sentence supervision","Male","2025Q3",18
"Wales","Community order","Female","2025Q3",187
"Wales","Community order","Male","2025Q3",833
"Wales","Other sentences","Female","2025Q3",78
"Wales","Other sentences","Male","2025Q3",541
"Wales","Pre-release supervision","Female","2025Q3",118
"Wales","Pre-release supervision","Male","2025Q3",1135
"Wales","Supervision Default Order","Male","2025Q3",2
"Wales","Suspended sentence order with requirements","Female","2025Q3",78
"Wales","Suspended sentence order with requirements","Male","2025Q3",541
"Wales","Youth Rehabilitation Order","Male","2025Q3",4
"West Midlands","All community sentences","Female","2025Q3",286
"West Midlands","All community sentences","Male","2025Q3",1299
"West Midlands","All court orders","Female","2025Q3",396
"West Midlands","All court orders","Male","2025Q3",2190
"West Midlands","All court orders and pre-release supervision","Female","2025Q3",531
"West Midlands","All court orders and pre-release supervision","Male","2025Q3",3894
"West Midlands","Committal for breach of post-sentence supervision","Male","2025Q3",15
"West Midlands","Community order","Female","2025Q3",286
"West Midlands","Community order","Male","2025Q3",1289
"West Midlands","Other sentences","Female","2025Q3",110
"West Midlands","Other sentences","Male","2025Q3",891
"West Midlands","Pre-release supervision","Female","2025Q3",136
"West Midlands","Pre-release supervision","Male","2025Q3",1704
"West Midlands","Suspended sentence order with requirements","Female","2025Q3",110
"West Midlands","Suspended sentence order with requirements","Male","2025Q3",891
"West Midlands","Youth Rehabilitation Order","Male","2025Q3",9
"Yorkshire and the Humber","All community sentences","Female","2025Q3",394
"Yorkshire and the Humber","All community sentences","Male","2025Q3",1588
"Yorkshire and the Humber","All court orders","Female","2025Q3",535
"Yorkshire and the Humber","All court orders","Male","2025Q3",2441
"Yorkshire and the Humber","All court orders and pre-release supervision","Female","2025Q3",690
"Yorkshire and the Humber","All court orders and pre-release supervision","Male","2025Q3",4558
"Yorkshire and the Humber","Committal for breach of post-sentence supervision","Male","2025Q3",3
"Yorkshire and the Humber","Community order","Female","2025Q3",394
"Yorkshire and the Humber","Community order","Male","2025Q3",1587
"Yorkshire and the Humber","Other sentences","Female","2025Q3",141
"Yorkshire and the Humber","Other sentences","Male","2025Q3",854
"Yorkshire and the Humber","Pre-release supervision","Female","2025Q3",155
"Yorkshire and the Humber","Pre-release supervision","Male","2025Q3",2117
"Yorkshire and the Humber","Suspended sentence order with requirements","Female","2025Q3",141
"Yorkshire and the Humber","Suspended sentence order with requirements","Male","2025Q3",854
"Yorkshire and the Humber","Youth Rehabilitation Order","Male","2025Q3",1
